groupId,groupTitle,groupDescription,groupFallback,itemName,price,description,imageFile,imageFit,subsection
,,,,경장육사,"19,000원",춘장 풍미의 돼지고기와 채소를 함께 즐기는 요리,jingjiang-pork.jpg,,
,,,,마라탕,"18,000원",얼얼하고 깊은 향의 국물 요리,malatang.jpg,,
,,,,소룽샤,"38,000원",진한 양념에 볶아낸 중국식 민물가재,xiaolongxia.jpg,,
,,,,지삼선,"18,000원",가지·감자·피망을 감칠맛 나게 볶은 요리,di-san-xian.jpg,,
,,,,건두부볶음,"16,000원",쫄깃한 건두부와 채소를 볶은 요리,stir-fried-tofu-skin.jpg,,
,,,,오이무침,"12,000원",아삭한 오이를 산뜻하게 무친 곁들임,cucumber-salad.jpg,,
,,,,쯔란양고기,"28,000원","쯔란양고기는 부드러운 양고기를 쯔란과 향신료에 볶아 고소하고 이국적인 향을 살린 중국식 양고기 요리입니다. 진한 양고기 풍미와 알싸한 향신료를 좋아하는 고객에게 추천합니다.",cumin-lamb.jpg,,
,,,,마라샹궈,"32,000원",다채로운 재료를 마라 양념에 볶은 요리,mala-xiang-guo.jpg,,
,,,,건두부무침,"16,000원",건두부와 채소를 새콤하게 무친 냉채,tofu-skin-salad.jpg,,
,,,,양탕,"15,000원","왕징양다리양꼬치의 양탕은 양고기를 깊고 따뜻하게 끓여낸 중국식 국물 요리입니다. 진한 육향과 부드러운 고기가 어우러져 판교점·모란점에서 술안주나 가족식사 마무리 메뉴로 즐기기 좋습니다.",lamb-soup.jpg,,
meals,식사·면·디저트,요리와 곁들이거나 든든하게 마무리하는 메뉴,/images/wangjing/menu/egg-fried-rice.jpg,계란볶음밥,"8,000원",고슬고슬한 밥과 부드러운 계란 볶음,egg-fried-rice.jpg,,
,,,,가지볶음밥,"8,000원",가지의 감칠맛을 더한 든든한 볶음밥,eggplant-fried-rice.jpg,,
,,,,옥수수온면,"8,000원",따뜻한 국물에 담은 부드러운 옥수수면,corn-noodle-soup.jpg,,
,,,,냉면,"8,000원",시원한 육수로 깔끔하게 마무리하는 면,cold-noodles.jpg,,
,,,,물만두,"8,000원",촉촉하고 부드럽게 익힌 한입 만두,boiled-dumplings.jpg,,
,,,,꽃빵튀김,"8,000원",겉은 바삭하고 속은 폭신한 달콤한 꽃빵,fried-flower-buns.jpg,,
drinks,주류·하이볼,양고기와 어울리는 고량주와 시원한 한 잔,/images/wangjing/menu/chinese-liquor-toast.jpg,연태구냥 500ml 34도,"40,000원",은은한 과실 향이 특징인 중국 백주,yantai-guniang-500ml.jpg,contain,
,,,,연태구냥 250ml 34도,"20,000원",부드러운 향을 가볍게 즐기는 연태구냥,yantai-guniang-250ml.jpg,contain,
,,,,연태구냥 125ml 34도,"12,000원",한 상에 곁들이기 좋은 작은 용량의 연태구냥,yantai-guniang-125ml.jpg,contain,
,,,,설원 450ml 30도,"25,000원",깔끔한 목넘김의 중국 백주,seolwon-450ml.jpg,contain,
,,,,설원 250ml 30도,"15,000원",부담 없이 나누기 좋은 설원 백주,seolwon-250ml.jpg,contain,
,,,,공부가주 500ml 33도,"50,000원",깊고 부드러운 향을 지닌 중국 명주,gongbu-gaju-500ml.jpg,contain,
,,,,노주탄 500ml 33도,"30,000원",진한 향과 긴 여운의 중국 백주,noju-tan-500ml.jpg,contain,
,,,,칭다오 맥주 640ml 4.7도,"7,000원",양꼬치와 잘 어울리는 청량한 맥주,tsingtao-beer-640ml.jpg,contain,
,,,,하얼빈 맥주 500ml 4.3도,"7,000원",깔끔하고 시원한 중국 맥주,harbin-beer-500ml.jpg,contain,
,,,,산토리하이볼,"8,000원",산뜻하고 깔끔하게 즐기는 위스키 하이볼,suntory-highball.png,contain,highball
,,,,제임슨하이볼,"8,000원",부드러운 아이리시 위스키 하이볼,jameson-highball.png,contain,highball
,,,,짐빔하이볼,"7,000원",버번의 고소한 풍미를 담은 하이볼,jim-beam-highball.png,contain,highball
,,,,커티삭하이볼,"6,000원",커티삭 위스키로 만든 시원한 하이볼,cutty-sark-highball.png,contain,highball
,,,,봄베이하이볼,"8,000원",진의 향긋함을 살린 청량한 하이볼,bombay-highball.png,contain,highball
,,,,연태하이볼,"7,000원",연태구냥의 향을 산뜻하게 즐기는 하이볼,yantai-highball.png,contain,highball
